대분류,중분류,소분류,category_code,total_count_en,name,summary,has_photo,cid
Accommodations,,,Ch4v8z7,16,Leejae Seoul,A detached house accommodation located where the Seoul City Wall unfolds right in front of the house.,True,ENPvmf745
Accommodations,,,Ch4v8z7,16,Surak Hyu Treehouse,The nation's first urban-style forest retreat,True,ENP54ay57
Accommodations,,,Ch4v8z7,16,Stay Davansa,"A perfect spot to enjoy an open-air bath while gazing at the sky and a cozy garden, sipping freshly brewed tea, and reading in peace",True,ENPrb2d9e
Accommodations,,,Ch4v8z7,16,Hotel Poco Seongsu,"Hotel Poco Seongsu is a lifestyle hotel that aims to provide a safe haven in the fast-paced and bustling city center. Located just a 2-minute walk from Exit 3 of Seongsu Station, it offers excellent a",True,ENPx17ry7
Accommodations,,,Ch4v8z7,16,Andaz Seoul Gangnam,A luxurious lifestyle hotel that showcases the local culture and sensibilities of the area with a modern touch in the heart of Gangnam.,True,ENP9dsjmt
Accommodations,,,Ch4v8z7,16,Nostalgia Bluejae,A noble and blue hanok nestled in Bukchon Hanok Village,True,ENP042851
Accommodations,,,Ch4v8z7,16,Nuwa,"Nuwa, a small hanok deep in the narrow alleys of Seochon's residential area",True,ENP042850
Accommodations,,,Ch4v8z7,16,Eungjeongheon,Enjoying nature in a hanok hotel,True,ENP042849
Accommodations,,,Ch4v8z7,16,Mangrove Sinseol,Through the renovation of a hotel comes the newest co-living house.,True,ENP039311
Accommodations,,,Ch4v8z7,16,Vista Walkerhill Seoul,"Located in Achasan, Gwangjin-gu, Vista Walkerhill Seoul is the best place to soak in a hot tub while viewing the wonderful scenery of the Hangang River.",True,ENP028037
Accommodations,Hostels,,Ct9n1n3,2,Mangrove Sinseol,Through the renovation of a hotel comes the newest co-living house.,True,ENP039311
Accommodations,Hostels,,Ct9n1n3,2,Hi Seoul Youth Hostel,"Opening its doors on March 2, 2011, Hi Seoul Youth Hostel is a new, state-of-the art lodging facility that offers a variety of programs, events and hands-on experiences in addition to comfortable accommodation.",True,ENP009960
